Position,Location,Gender,Education,Experience (Years),Salary,Salary_in_LPA,Combined_Tokens
QNXT Configuration QA/Testing SME,Ghaziabad,Female,B.Tech/B.E.,11,2000000,20LPA,"['qnxt', 'configuration', 'qa', 'testing', 'sme', 'ghaziabad', '2000000 salary', '11 experience (years)']"
Provider Data Management,New Delhi,Female,B.Tech/B.E.,24,1600000,16LPA,"['provider', 'data', 'management', 'new', 'delhi', '1600000 salary', '24 experience (years)']"
Accessibility Engineer QA,Noida,Female,BCA,25,1900000,19LPA,"['accessibility', 'engineer', 'qa', 'bca', 'noida', '1900000 salary', '25 experience (years)']"
Senior Software Engineer,Jalandhar,Male,,27,2400000,24LPA,"['senior', 'software', 'engineer', 'jalandhar', '2400000 salary', '27 experience (years)']"
Java Developer/Spring Boot,Meerut,Male,B.A,11,1100000,11LPA,"['java', 'developer', 'spring', 'boot', 'meerut', '1100000 salary', '11 experience (years)']"
iOS Tester,Padampur,Female,B.Com,15,2100000,21LPA,"['ios', 'tester', 'padampur', '2100000 salary', '15 experience (years)']"
GCP Cloud Architect,New Delhi,Male,B.Tech/B.E.,21,1400000,14LPA,"['gcp', 'cloud', 'architect', 'new', 'delhi', '1400000 salary', '21 experience (years)']"
Technical Project Manager Remote,Pune,Male,BCA,8,900000,9LPA,"['technical', 'project', 'manager', 'remote', 'bca', 'pune', '900000 salary', '8 experience (years)']"
Provider Data Setup,Kannur,Female,BCA,20,1500000,15LPA,"['provider', 'data', 'setup', 'bca', 'kannur', '1500000 salary', '20 experience (years)']"
iOS Tester,Gurugram,Female,B.Tech/B.E.,20,2000000,20LPA,"['ios', 'tester', 'gurugram', '2000000 salary', '20 experience (years)']"
Technical Lead(Data ADF),Pune,Male,Diploma,7,700000,7LPA,"['technical', 'adf', 'diploma', 'pune', '700000 salary', '7 experience (years)']"
System Engineer,Hubli,Male,B.Com,24,2500000,25LPA,"['system', 'engineer', 'hubli', '2500000 salary', '24 experience (years)']"
Sr. Tableau or Power BI Developer,Kolkata,Female,Diploma,24,600000,6LPA,"['sr', 'tableau', 'or', 'power', 'bi', 'developer', 'diploma', 'kolkata', '600000 salary', '24 experience (years)']"
Sr. Tableau or Power BI Developer,New Delhi,Male,BCA,16,1100000,11LPA,"['sr', 'tableau', 'or', 'power', 'bi', 'developer', 'bca', 'new', 'delhi', '1100000 salary', '16 experience (years)']"
Sr. Tableau or Power BI Developer,Gurugram,Male,B.Tech/B.E.,21,1700000,17LPA,"['sr', 'tableau', 'or', 'power', 'bi', 'developer', 'gurugram', '1700000 salary', '21 experience (years)']"
Sr. Tableau or Power BI Developer,Prayagraj,Female,BCA,15,1900000,19LPA,"['sr', 'tableau', 'or', 'power', 'bi', 'developer', 'bca', 'prayagraj', '1900000 salary', '15 experience (years)']"
Android Tester,Ghaziabad,Male,B.Sc,24,2100000,21LPA,"['android', 'tester', 'ghaziabad', '2100000 salary', '24 experience (years)']"
Sr. Data Ingestion/Analytics Engineer,Ranchi,Female,B.Tech/B.E.,15,1900000,19LPA,"['sr', 'data', 'ingestion', 'analytics', 'engineer', 'ranchi', '1900000 salary', '15 experience (years)']"
Sr. Data Ingestion/Analytics Engineer,Bengaluru,Female,B.Sc,19,2400000,24LPA,"['sr', 'data', 'ingestion', 'analytics', 'engineer', 'bengaluru', '2400000 salary', '19 experience (years)']"
ÃÂ Product Technical Specialist,Warangal,Female,B.Com,28,900000,9LPA,"['product', 'technical', 'specialist', 'warangal', '900000 salary', '28 experience (years)']"
ÃÂ Product Technical Specialist,Pune,Male,B.Tech/B.E.,7,2000000,20LPA,"['product', 'technical', 'specialist', 'pune', '2000000 salary', '7 experience (years)']"
ÃÂ Product Technical Specialist,Hyderabad,Male,B.Tech/B.E.,17,1300000,13LPA,"['product', 'technical', 'specialist', 'hyderabad', '1300000 salary', '17 experience (years)']"
ÃÂ Product Technical Specialist,Gurugram,Male,B.A,26,1600000,16LPA,"['product', 'technical', 'specialist', 'gurugram', '1600000 salary', '26 experience (years)']"
Data Architect,Bengaluru,Female,B.Sc,23,900000,9LPA,"['data', 'architect', 'bengaluru', '900000 salary', '23 experience (years)']"
QA Tester /Selenium,Noida,Male,BCA,16,1100000,11LPA,"['qa', 'tester', 'bca', 'noida', '1100000 salary', '16 experience (years)']"
Cloud Architect,Gurugram,Male,B.Com,20,1200000,12LPA,"['cloud', 'architect', 'gurugram', '1200000 salary', '20 experience (years)']"
Cloud Architect,Lucknow,Male,B.Tech/B.E.,20,2400000,24LPA,"['cloud', 'architect', 'lucknow', '2400000 salary', '20 experience (years)']"
DevOps Eng,Faridabad,Male,B.Com,20,900000,9LPA,"['devops', 'eng', 'faridabad', '900000 salary', '20 experience (years)']"
Data Architect,Guwahati,Male,Diploma,25,900000,9LPA,"['data', 'architect', 'diploma', 'guwahati', '900000 salary', '25 experience (years)']"
Tapestry Manager of Configuration,Kanpur,Male,BCA,18,800000,8LPA,"['tapestry', 'manager', 'of', 'configuration', 'bca', 'kanpur', '800000 salary', '18 experience (years)']"
QNXT Configuration SME,Bengaluru,Male,B.Tech/B.E.,14,1700000,17LPA,"['qnxt', 'configuration', 'sme', 'bengaluru', '1700000 salary', '14 experience (years)']"
"Sr. software engineer/.Net,Azure",Noida,Male,B.A,19,2400000,24LPA,"['sr', 'software', 'azure', 'noida', '2400000 salary', '19 experience (years)']"
